Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.26     32.48     0.11                             fill_triangle_color (fill_triangle2.c:142 @ b7a3)
  0.26     32.59     0.11                             inner_loop (fill_triangle.c:155 @ b49e)
  0.26     32.70     0.11                             unfilterScanline (lodepng.c:4497 @ 1d2dd)
  0.24     32.80     0.10                             fill_triangle_texture (fill_triangle.c:207 @ add3)
  0.24     32.90     0.10                             inner_loop (fill_triangle.c:141 @ ae75)
  0.23     32.99     0.10                             fill_triangle_color (fill_triangle2.c:202 @ ba5e)
  0.23     33.09     0.10                             paethPredictor (lodepng.c:4244 @ 1ba87)
  0.22     33.18     0.09                             fill_triangle_color (fill_triangle2.c:140 @ b858)
  0.22     33.27     0.09                             fill_triangle_color (fill_triangle2.c:208 @ bbb5)
  0.22     33.36     0.09                             matrix_mult_vec3_4x4 (matrix_mult.c:64 @ a914)
  0.20     33.45     0.09                             fill_triangle_color (fill_triangle2.c:135 @ b76b)
  0.20     33.53     0.09                             ft_memcpy (ft_memcpy.c:28 @ eaa2)
  0.20     33.62     0.09                             inner_loop (fill_triangle.c:159 @ b4e2)
  0.19     33.70     0.08                             advanceBits (lodepng.c:569 @ 15467)
  0.19     33.77     0.08                             ft_memcpy (ft_memcpy.c:28 @ ea3f)
  0.19     33.85     0.08                             ft_memcpy (ft_memcpy.c:29 @ ead3)
  0.19     33.94     0.08                             inner_loop (fill_triangle.c:139 @ b4f1)
  0.19     34.02     0.08                             reset_pixel_buffer_main (main.c:109 @ 336b)
  0.18     34.09     0.07                             fill_triangle_color (fill_triangle2.c:204 @ ba58)
  0.17     34.16     0.07                             fill_triangle_color (fill_triangle2.c:134 @ b840)
  0.17     34.23     0.07                             fill_triangle_color (fill_triangle2.c:145 @ b881)
  0.17     34.30     0.07                             fill_triangle_color (fill_triangle2.c:205 @ bb95)
  0.17     34.37     0.07                             inflateHuffmanBlock (lodepng.c:1315 @ 16b5f)
  0.17     34.44     0.07                             inner_loop (fill_triangle.c:139 @ b074)
