Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.27     66.44     0.22                             inner_loop (fill_triangle.c:152 @ b5a0)
  0.26     66.66     0.21                             inner_loop (fill_triangle.c:151 @ b00d)
  0.26     66.87     0.21                             inner_loop (fill_triangle.c:141 @ b55c)
  0.25     67.08     0.20                             inner_loop (fill_triangle.c:153 @ b01d)
  0.25     67.28     0.20                             inner_loop (fill_triangle.c:139 @ b537)
  0.24     67.48     0.20                             inner_loop (fill_triangle.c:150 @ b015)
  0.21     67.66     0.17                             inner_loop (fill_triangle.c:151 @ affe)
  0.21     67.83     0.17                             fill_triangle_texture (fill_triangle.c:244 @ b065)
  0.21     68.00     0.17                             inner_loop (fill_triangle.c:151 @ b59c)
  0.19     68.16     0.16                             inner_loop (fill_triangle.c:152 @ b002)
  0.18     68.31     0.15                             inner_loop (fill_triangle.c:136 @ b046)
  0.18     68.45     0.15                             matrix_mult_vec3_4x4 (matrix_mult.c:63 @ aa51)
  0.18     68.61     0.15                             paethPredictor (lodepng.c:4241 @ 1bb5e)
  0.18     68.75     0.15                             update_adler32 (lodepng.c:2148 @ 1727c)
  0.18     68.90     0.14                             ft_memcpy (ft_memcpy.c:28 @ eb92)
  0.17     69.04     0.14                             fill_triangle_texture (fill_triangle.c:236 @ b09c)
  0.17     69.18     0.14                             my_str_cpy (get_next_line_utils.c:70 @ 10448)
  0.16     69.31     0.14                             fill_triangle_color (fill_triangle2.c:199 @ bc60)
  0.16     69.45     0.14                             fill_triangle_texture (fill_triangle.c:216 @ af0d)
  0.16     69.58     0.13                             fill_triangle_color (fill_triangle2.c:130 @ b981)
  0.16     69.71     0.13                             fill_triangle_texture (fill_triangle.c:271 @ b371)
  0.15     69.83     0.12                             fill_triangle_color (fill_triangle2.c:142 @ b893)
  0.15     69.96     0.12                             inner_loop (fill_triangle.c:135 @ b4cb)
  0.15     70.08     0.12                             inner_loop (fill_triangle.c:153 @ b5b3)
  0.15     70.21     0.12                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ aabf)
  0.15     70.33     0.12                             unfilterScanline (lodepng.c:4496 @ 1d398)
  0.13     70.44     0.11 275106212     0.40     0.40  ft_memcpy (ft_memcpy.c:16 @ eb10)
  0.13     70.55     0.11                             _init
  0.13     70.66     0.11                             fill_triangle_color (fill_triangle2.c:136 @ b934)
  0.13     70.77     0.11                             inner_loop (fill_triangle.c:136 @ b3b0)
  0.13     70.88     0.11                             rasterize (draw.c:328 @ 5875)
  0.12     70.98     0.10                             ensureBits32 (lodepng.c:547 @ 15390)
  0.12     71.08     0.10                             ft_memcpy (ft_memcpy.c:28 @ eb2f)
  0.12     71.18     0.10                             inner_loop (fill_triangle.c:145 @ af75)
  0.12     71.28     0.10                             paethPredictor (lodepng.c:4244 @ 1bb77)
  0.12     71.38     0.10                             paethPredictor (lodepng.c:4245 @ 1bb8c)
