Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.50     23.98     0.18                             inner_loop (fill_triangle.c:157 @ b054)
  0.49     24.16     0.17                             draw_mesh (draw.c:378 @ 5ad2)
  0.49     24.33     0.17                             draw_mesh (draw.c:379 @ 5ae2)
  0.47     24.50     0.17                             inner_loop (fill_triangle.c:143 @ afd0)
  0.47     24.67     0.17                             inner_loop (fill_triangle.c:148 @ afd2)
  0.47     24.84     0.17                             inner_loop (fill_triangle.c:155 @ b025)
  0.47     25.01     0.17                             inner_loop (fill_triangle.c:148 @ b451)
  0.46     25.18     0.17                             inner_loop (fill_triangle.c:157 @ b036)
  0.45     25.34     0.16                             inner_loop (fill_triangle.c:159 @ b4e2)
  0.42     25.48     0.15                             get_unset_used_index (clipping_xy.c:71 @ cbcf)
  0.42     25.64     0.15                             paethPredictor (lodepng.c:4241 @ 1ba6e)
  0.40     25.78     0.14                             fill_triangle_color (fill_triangle2.c:202 @ ba5e)
  0.40     25.93     0.14                             update_adler32 (lodepng.c:2148 @ 1718c)
  0.39     26.07     0.14                             inner_loop (fill_triangle.c:157 @ b02a)
  0.39     26.20     0.14                             unfilterScanline (lodepng.c:4496 @ 1d2a8)
  0.36     26.34     0.13                             unfilterScanline (lodepng.c:4498 @ 1d312)
  0.35     26.46     0.12                             inner_loop (fill_triangle.c:155 @ b49e)
  0.35     26.59     0.12                             paethPredictor (lodepng.c:4250 @ 1baef)
  0.35     26.71     0.12                             unfilterScanline (lodepng.c:4493 @ 1d1e7)
  0.33     26.83     0.12                             inner_loop (fill_triangle.c:144 @ afde)
  0.33     26.95     0.12                             inner_loop (fill_triangle.c:146 @ afef)
  0.33     27.07     0.12                             inner_loop (fill_triangle.c:157 @ b4ca)
  0.33     27.19     0.12                             matrix_mult_vec3_4x4 (matrix_mult.c:65 @ a938)
  0.33     27.31     0.12                             my_str_cpy (get_next_line_utils.c:70 @ 10358)
  0.33     27.43     0.12                             reset_pixel_buffer_main (main.c:104 @ 3365)
  0.32     27.55     0.12                             fill_triangle_color (fill_triangle2.c:197 @ bbbe)
  0.31     27.66     0.11 228626652     0.00     0.00  matrix_mult_vec3_4x4 (matrix_mult.c:61 @ a890)
  0.31     27.77     0.11                             inner_loop (fill_triangle.c:141 @ b2dd)
  0.29     27.87     0.10                             fill_triangle_color (fill_triangle2.c:204 @ ba58)
  0.29     27.98     0.10                             reset_pixel_buffer_main (main.c:109 @ 335b)
  0.28     28.07     0.10                             huffmanDecodeSymbol (lodepng.c:1075 @ 16027)
  0.28     28.18     0.10                             inner_loop (fill_triangle.c:153 @ b495)
  0.27     28.27     0.10                             ensureBits32 (lodepng.c:546 @ 15250)
  0.27     28.36     0.10                             update_adler32 (lodepng.c:2146 @ 17192)
  0.25     28.45     0.09 28187220     0.00     0.00  rasterize (draw.c:251 @ 5280)
  0.25     28.55     0.09                             ft_memcpy (ft_memcpy.c:28 @ eaa2)
  0.25     28.64     0.09                             matrix_mult_vec3_4x4 (matrix_mult.c:63 @ a8f1)
  0.25     28.73     0.09                             matrix_mult_vec3_4x4 (matrix_mult.c:64 @ a914)
  0.22     28.80     0.08                             inner_loop (fill_triangle.c:154 @ b021)
  0.22     28.89     0.08                             inner_loop (fill_triangle.c:154 @ b03a)
  0.22     28.96     0.08                             paethPredictor (lodepng.c:4244 @ 1ba87)
  0.22     29.05     0.08                             paethPredictor (lodepng.c:4245 @ 1ba9c)
  0.22     29.12     0.08                             unfilterScanline (lodepng.c:4497 @ 1d2dd)
  0.21     29.20     0.07                             paethPredictor (lodepng.c:4249 @ 1bad6)
  0.20     29.27     0.07                             _init
  0.20     29.34     0.07                             ensureBits32 (lodepng.c:549 @ 152e3)
  0.20     29.41     0.07                             inner_loop (fill_triangle.c:143 @ b44e)
  0.18     29.48     0.07                             update_adler32 (lodepng.c:2147 @ 17177)
  0.17     29.54     0.06                             draw_mesh (draw.c:370 @ 5981)
  0.17     29.59     0.06                             fill_triangle_color (fill_triangle2.c:139 @ b854)
  0.17     29.66     0.06                             fill_triangle_color (fill_triangle2.c:205 @ bb95)
  0.17     29.71     0.06                             inner_loop (fill_triangle.c:139 @ b074)
  0.17     29.77     0.06                             v3_sub (vec3.c:146 @ 6160)
  0.15     29.83     0.06                             advanceBits (lodepng.c:569 @ 15467)
  0.14     29.88     0.05 102460582     0.00     0.00  ft_memcpy (ft_memcpy.c:16 @ ea20)
  0.14     29.93     0.05                             dot_prod_unit (vec3.c:111 @ 601e)
  0.14     29.98     0.05                             ensureBits32 (lodepng.c:547 @ 15283)
  0.14     30.03     0.05                             fill_triangle_color (fill_triangle2.c:136 @ b844)
  0.14     30.08     0.05                             fill_triangle_color (fill_triangle2.c:143 @ b87c)
  0.14     30.13     0.05                             fill_triangle_color (fill_triangle2.c:205 @ ba75)
  0.14     30.18     0.05                             fill_triangle_texture (fill_triangle.c:271 @ b2a2)
  0.14     30.23     0.05                             ft_memcpy (ft_memcpy.c:29 @ eb5d)
  0.14     30.28     0.05                             get_unset_last_used_index (clipping_xy.c:54 @ d018)
  0.14     30.33     0.05                             inflateHuffmanBlock (lodepng.c:1315 @ 16b5f)
  0.14     30.38     0.05                             inner_loop (fill_triangle.c:154 @ b02d)
  0.14     30.43     0.05                             inner_loop (fill_triangle.c:156 @ b050)
  0.14     30.48     0.05                             inner_loop (fill_triangle.c:143 @ b447)
  0.14     30.53     0.05                             inner_loop (fill_triangle.c:139 @ b4dc)
  0.14     30.58     0.05                             peekBits (lodepng.c:564 @ 1543f)
  0.13     30.62     0.04                             fill_triangle_color (fill_triangle2.c:142 @ b87a)
  0.13     30.67     0.04                             fill_triangle_color (fill_triangle2.c:145 @ b881)
  0.13     30.71     0.04                             fill_triangle_texture (fill_triangle.c:247 @ af43)
  0.13     30.76     0.04                             inner_loop (fill_triangle.c:161 @ b4eb)
  0.13     30.80     0.04                             my_str_cpy (get_next_line_utils.c:74 @ 10386)
  0.13     30.85     0.04                             update_adler32 (lodepng.c:2146 @ 1716e)
  0.13     30.89     0.04                             v3_sub (vec3.c:145 @ 6137)
  0.11     30.93     0.04 88156802     0.00     0.00  zero_f (utils1.c:63 @ 78f0)
  0.11     30.98     0.04 48022396     0.00     0.00  cross_product (vec3.c:99 @ 5f90)
  0.11     31.02     0.04                             advanceBits (lodepng.c:570 @ 1547f)
  0.11     31.05     0.04                             call_clipping_xy (clipping_xy.c:268 @ d0c8)
  0.11     31.09     0.04                             clipping_z_near (clipping_z.c:193 @ c46e)
  0.11     31.14     0.04                             ensureBits32 (lodepng.c:548 @ 152c6)
  0.11     31.18     0.04                             fill_triangle_color (fill_triangle2.c:204 @ ba7f)
  0.11     31.21     0.04                             fill_triangle_color (fill_triangle2.c:199 @ bb70)
  0.11     31.25     0.04                             fill_triangle_color (fill_triangle2.c:205 @ bba6)
  0.11     31.30     0.04                             fill_triangle_color (fill_triangle2.c:208 @ bbb5)
  0.11     31.34     0.04                             fill_triangle_texture (fill_triangle.c:207 @ add3)
  0.11     31.38     0.04                             ft_memcpy (ft_memcpy.c:31 @ ea78)
  0.11     31.41     0.04                             ft_memcpy (ft_memcpy.c:29 @ ead3)
  0.11     31.45     0.04                             ft_memcpy (ft_memcpy.c:29 @ eb15)
  0.11     31.50     0.04                             inner_loop (fill_triangle.c:141 @ ae75)
  0.11     31.54     0.04                             inner_loop (fill_triangle.c:139 @ b063)
  0.11     31.57     0.04                             inner_loop (fill_triangle.c:154 @ b4b0)
  0.11     31.61     0.04                             inner_loop (fill_triangle.c:156 @ b4c6)
  0.11     31.66     0.04                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ a95f)
  0.11     31.70     0.04                             readBits (lodepng.c:576 @ 154bf)
  0.11     31.73     0.04                             unfilterScanline (lodepng.c:4495 @ 1d277)
  0.11     31.77     0.04                             unit_vec3 (vec3.c:32 @ 5dc0)
