Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.95     23.71     0.48                             lodepng_memcpy (lodepng.c:123 @ 1492e)
  0.91     24.17     0.46                             lodepng_memset (lodepng.c:129 @ 14979)
  0.90     24.62     0.46                             inner_loop (fill_triangle.c:149 @ b52b)
  0.89     25.07     0.45                             inner_loop (fill_triangle.c:140 @ afc0)
  0.89     25.52     0.45                             inner_loop (fill_triangle.c:158 @ b025)
  0.84     25.95     0.42                             fill_triangle_color (fill_triangle2.c:143 @ b88c)
  0.84     26.38     0.42                             fill_triangle_color (fill_triangle2.c:202 @ bc6c)
  0.83     26.80     0.42                             inner_loop (fill_triangle.c:148 @ b55f)
  0.81     27.20     0.41                             inner_loop (fill_triangle.c:158 @ b02d)
  0.81     27.61     0.41                             inner_loop (fill_triangle.c:168 @ b5be)
  0.77     28.00     0.39                             matrix_mult_vec3_4x4 (matrix_mult.c:62 @ aa02)
  0.73     28.38     0.37                             inner_loop (fill_triangle.c:142 @ b550)
  0.72     28.74     0.36                             inner_loop (fill_triangle.c:150 @ b53f)
  0.70     29.09     0.35                             inner_loop (fill_triangle.c:159 @ b596)
  0.69     29.45     0.35                             inner_loop (fill_triangle.c:148 @ afc7)
  0.67     29.79     0.34                             inner_loop (fill_triangle.c:140 @ b528)
  0.67     30.12     0.34                             inner_loop (fill_triangle.c:158 @ b59f)
  0.63     30.45     0.32                             inner_loop (fill_triangle.c:142 @ afdc)
  0.63     30.77     0.32                             inner_loop (fill_triangle.c:142 @ b545)
  0.63     31.09     0.32                             inner_loop (fill_triangle.c:163 @ b5c8)
  0.63     31.41     0.32                             inner_loop (fill_triangle.c:168 @ b5cc)
  0.62     31.72     0.32                             get_unset_used_index (clipping_xy.c:69 @ ccd2)
  0.62     32.03     0.32                             inner_loop (fill_triangle.c:169 @ b5d1)
  0.59     32.34     0.30                             inner_loop (fill_triangle.c:148 @ aff2)
  0.59     32.63     0.30                             inner_loop (fill_triangle.c:157 @ b004)
  0.59     32.94     0.30                             inner_loop (fill_triangle.c:159 @ b01c)
  0.56     33.22     0.28                             fill_triangle_color (fill_triangle2.c:143 @ b963)
  0.53     33.49     0.27                             fill_triangle_color (fill_triangle2.c:204 @ bc90)
  0.52     33.76     0.27                             fill_triangle_color (fill_triangle2.c:142 @ b95d)
  0.51     34.02     0.26                             inner_loop (fill_triangle.c:169 @ b055)
  0.47     34.26     0.24                             inner_loop (fill_triangle.c:156 @ b588)
  0.45     34.48     0.23                             draw_mesh (draw.c:421 @ 5df1)
  0.43     34.70     0.22                             inner_loop (fill_triangle.c:150 @ b548)
  0.41     34.91     0.21                             inner_loop (fill_triangle.c:169 @ b048)
  0.41     35.12     0.21                             inner_loop (fill_triangle.c:163 @ b04b)
  0.41     35.34     0.21                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b032)
  0.41     35.55     0.21                             matrix_mult_vec3_4x4 (matrix_mult.c:63 @ aa51)
  0.39     35.74     0.20                             inner_loop (fill_triangle.c:158 @ b034)
  0.38     35.94     0.20                             matrix_mult_vec3_4x4 (matrix_mult.c:65 @ aa98)
  0.37     36.13     0.19                             inner_loop (fill_triangle.c:137 @ b05a)
  0.36     36.31     0.18                             get_unset_used_index (clipping_xy.c:71 @ ccbf)
  0.36     36.49     0.18                             inner_loop (fill_triangle.c:156 @ b000)
  0.36     36.67     0.18                             inner_loop (fill_triangle.c:141 @ b542)
  0.35     36.85     0.17                             fill_triangle_color (fill_triangle2.c:202 @ bb4e)
  0.35     37.02     0.17                             update_adler32 (lodepng.c:2148 @ 1727c)
  0.33     37.19     0.17                             inner_loop (fill_triangle.c:155 @ b017)
  0.33     37.35     0.17                             inner_loop (fill_triangle.c:156 @ b591)
  0.33     37.52     0.17                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b014)
  0.32     37.68     0.16                             inner_loop (fill_triangle.c:141 @ afc9)
  0.31     37.84     0.15                             inner_loop (fill_triangle.c:154 @ b57b)
  0.30     37.98     0.15                             inner_loop (fill_triangle.c:140 @ b534)
  0.30     38.13     0.15                             my_str_cpy (get_next_line_utils.c:70 @ 10448)
  0.30     38.28     0.15                             paethPredictor (lodepng.c:4241 @ 1bb5e)
  0.30     38.44     0.15                             paethPredictor (lodepng.c:4247 @ 1bba1)
  0.30     38.59     0.15                             paethPredictor (lodepng.c:4250 @ 1bbdf)
  0.28     38.73     0.14                             inner_loop (fill_triangle.c:154 @ b011)
  0.26     38.85     0.13                             fill_triangle_color (fill_triangle2.c:204 @ bb48)
  0.26     38.98     0.13                             inner_loop (fill_triangle.c:136 @ b4c8)
  0.26     39.12     0.13                             inner_loop (fill_triangle.c:154 @ b581)
  0.24     39.23     0.12 50264660     2.39     2.39  rasterize (draw.c:251 @ 53e0)
  0.24     39.35     0.12                             fill_triangle_texture (fill_triangle.c:259 @ b0ab)
  0.24     39.48     0.12                             inner_loop (fill_triangle.c:137 @ b3a7)
  0.24     39.59     0.12                             load_pixel_from_mlx_texture (fill_triangle.c:66 @ b02a)
  0.23     39.71     0.12                             inner_loop (fill_triangle.c:142 @ b52f)
  0.22     39.82     0.11                             inner_loop (fill_triangle.c:156 @ b00c)
  0.22     39.93     0.11                             inner_loop (fill_triangle.c:157 @ b58c)
  0.22     40.04     0.11                             matrix_mult_vec3_4x4 (matrix_mult.c:64 @ aa74)
  0.22     40.15     0.11                             unfilterScanline (lodepng.c:4496 @ 1d398)
  0.21     40.26     0.10                             fill_triangle_texture (fill_triangle.c:267 @ b07c)
  0.21     40.36     0.10                             ft_memcpy (ft_memcpy.c:28 @ eb92)
  0.21     40.47     0.10                             matrix_mult_vec3_4x4 (matrix_mult.c:66 @ aabf)
  0.20     40.56     0.10                             cpy_triangle_data_rasterize (draw.c:244 @ 5618)
  0.20     40.66     0.10                             ensureBits32 (lodepng.c:549 @ 153d3)
  0.20     40.77     0.10                             ft_memcpy (ft_memcpy.c:29 @ ebc3)
  0.20     40.87     0.10                             inner_loop (fill_triangle.c:137 @ b5c2)
  0.19     40.96     0.10                             ensureBits32 (lodepng.c:548 @ 153b6)
  0.19     41.05     0.10                             inner_loop (fill_triangle.c:150 @ afd2)
  0.19     41.15     0.10                             unfilterScanline (lodepng.c:4493 @ 1d2d7)
  0.18     41.24     0.09 186564186     0.48     0.48  ft_memcpy (ft_memcpy.c:16 @ eb10)
  0.18     41.33     0.09                             inner_loop (fill_triangle.c:141 @ afd5)
  0.18     41.42     0.09                             inner_loop (fill_triangle.c:141 @ b54c)
  0.18     41.51     0.09                             inner_loop (fill_triangle.c:155 @ b584)
  0.18     41.60     0.09                             inner_loop (fill_triangle.c:169 @ b5c5)
  0.18     41.69     0.09                             paethPredictor (lodepng.c:4245 @ 1bb8c)
  0.18     41.78     0.09                             peekBits (lodepng.c:564 @ 1552f)
  0.18     41.87     0.09                             unfilterScanline (lodepng.c:4497 @ 1d3cd)
  0.17     41.95     0.09                             fill_triangle_color (fill_triangle2.c:204 @ bb6f)
  0.17     42.04     0.09                             inner_loop (fill_triangle.c:137 @ b5d6)
  0.16     42.12     0.08 159783746     0.50     0.50  zero_f (utils1.c:63 @ 7a50)
  0.16     42.20     0.08                             draw_mesh (draw.c:378 @ 5c32)
  0.16     42.28     0.08                             fill_triangle_color (fill_triangle2.c:130 @ b981)
  0.16     42.36     0.08                             fill_triangle_color (fill_triangle2.c:205 @ bc85)
  0.16     42.44     0.08                             inner_loop (fill_triangle.c:137 @ b045)
  0.16     42.52     0.08                             v3_sub (vec3.c:146 @ 62c0)
  0.15     42.59     0.07                             fill_triangle_color (fill_triangle2.c:208 @ bb84)
  0.14     42.66     0.07 405002844     0.17     0.17  matrix_mult_vec3_4x4 (matrix_mult.c:61 @ a9f0)
  0.14     42.73     0.07 52473600     1.33     1.33  clipping_z_near (clipping_z.c:126 @ c490)
  0.14     42.80     0.07                             fill_triangle_color (fill_triangle2.c:140 @ b948)
  0.14     42.88     0.07                             fill_triangle_color (fill_triangle2.c:145 @ b971)
